"id","con_id","symbol","market","exchange","primary_exchange","currency","country","sector","industry","sub_industry","long_name","is_active","updated_at"
286,371886040,LHX,US,SMART,NYSE,USD,,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,L3HARRIS TECHNOLOGIES INC,true,2026-06-13 22:32:43.945
287,6608113,LII,US,SMART,NYSE,USD,,Industrial,Building Materials,Bldg Prod-Air&Heating,LENNOX INTERNATIONAL INC,true,2026-06-13 22:32:43.945
288,617155599,LIN,US,SMART,NASDAQ,USD,,Basic Materials,Chemicals,Industrial Gases,LINDE PLC,true,2026-06-13 22:32:43.945
289,201113895,LITE,US,SMART,NASDAQ,USD,,Technology,Computers,Computers-Other,LUMENTUM HOLDINGS INC,true,2026-06-13 22:32:43.945
290,9160,LLY,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,ELI LILLY & CO,true,2026-06-13 22:32:43.945
291,611191,LMT,US,SMART,NYSE,USD,,Industrial,Aerospace/Defense,Aerospace/Defense,LOCKHEED MARTIN CORP,true,2026-06-13 22:32:43.945
292,5026984,LNT,US,SMART,NASDAQ,USD,,Utilities,Electric,Electric-Integrated,ALLIANT ENERGY CORP,true,2026-06-13 22:32:43.945
293,9199,LOW,US,SMART,NYSE,USD,,"Consumer, Cyclical",Retail,Retail-Building Products,LOWE'S COS INC,true,2026-06-13 22:32:43.945
294,732440574,LRCX,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Semiconductor Equipment,LAM RESEARCH CORP,true,2026-06-13 22:32:43.945
295,45157951,LULU,US,SMART,NASDAQ,USD,,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,LULULEMON ATHLETICA INC,true,2026-06-13 22:32:43.945
296,9282,LUV,US,SMART,NYSE,USD,,"Consumer, Cyclical",Airlines,Airlines,SOUTHWEST AIRLINES CO,true,2026-06-13 22:32:43.945
297,32602412,LVS,US,SMART,NYSE,USD,,"Consumer, Cyclical",Lodging,Casino Hotels,LAS VEGAS SANDS CORP,true,2026-06-13 22:32:43.945
298,74866700,LYB,US,SMART,NYSE,USD,,Basic Materials,Chemicals,Chemicals-Diversified,LYONDELLBASELL INDU-CL A,true,2026-06-13 22:32:43.945
299,37511786,LYV,US,SMART,NYSE,USD,,"Consumer, Cyclical",Entertainment,Theaters,LIVE NATION ENTERTAINMENT IN,true,2026-06-13 22:32:43.945
300,38685693,MA,US,SMART,NYSE,USD,,Financial,Diversified Finan Serv,Finance-Credit Card,MASTERCARD INC - A,true,2026-06-13 22:32:43.945
301,9317,MAA,US,SMART,NYSE,USD,,Financial,REITS,REITS-Apartments,MID-AMERICA APARTMENT COMM,true,2026-06-13 22:32:43.945
302,9358,MAR,US,SMART,NASDAQ,USD,,"Consumer, Cyclical",Lodging,Hotels&Motels,MARRIOTT INTERNATIONAL -CL A,true,2026-06-13 22:32:43.945
303,9360,MAS,US,SMART,NYSE,USD,,Industrial,Building Materials,Bldg Prod-Wood,MASCO CORP,true,2026-06-13 22:32:43.945
304,9408,MCD,US,SMART,NYSE,USD,,"Consumer, Cyclical",Retail,Retail-Restaurants,MC DONALD'S-CORP,true,2026-06-13 22:32:43.945
305,271568,MCHP,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Electronic Compo-Semicon,MICROCHIP TECHNOLOGY INC,true,2026-06-13 22:32:43.945
306,9657,MCK,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist,MCKESSON CORP,true,2026-06-13 22:32:43.945
307,6497,MCO,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,MOODY'S CORP,true,2026-06-13 22:32:43.945
308,113599091,MDLZ,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Food,Food-Confectionery,MONDELEZ INTERNATIONAL INC-A,true,2026-06-13 22:32:43.945
309,181387075,MDT,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,MEDTRONIC PLC,true,2026-06-13 22:32:43.945
310,45602025,MELI,US,SMART,NASDAQ,USD,,Communications,Internet,E-Commerce/Services,MERCADOLIBRE INC,true,2026-06-13 22:32:43.945
311,8093509,MET,US,SMART,NYSE,USD,,Financial,Insurance,Multi-line Insurance,METLIFE INC,true,2026-06-13 22:32:43.945
312,107113386,META,US,SMART,NASDAQ,USD,,Communications,Internet,Internet Content-Entmnt,META PLATFORMS INC-CLASS A,true,2026-06-13 22:32:43.945
313,9560,MGM,US,SMART,NYSE,USD,,"Consumer, Cyclical",Lodging,Casino Hotels,MGM RESORTS INTERNATIONAL,true,2026-06-13 22:32:43.945
314,271556,MKC,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,MCCORMICK & CO-NON VTG SHRS,true,2026-06-13 22:32:43.945
